name,display_address,type,rating,review_count,price,latitude,longitude,bid
Pizzeria Delfina - Mission,"3621 18th St, San Francisco, CA 94110",Pizza,4.12,2331,$$,37.761514,-122.424318,856
Submarine Center,"820 Ulloa St, San Francisco, CA 94127",Italian,4.65,1369,$$,-9999.0,-9999.0,78727
Super Duper Burgers,"721 Market St, San Francisco, CA 94103",Burgers,4.03,2834,$$,37.787097,-122.404122,65860
Boulevard,"1 Mission St, San Francisco, CA 94105",American (New),3.98,2714,$$$,37.793497,-122.392841,3484
KUSAKABE,"584 Washington St, San Francisco, CA 94111",Sushi Bars,4.62,977,$$$$,-9999.0,-9999.0,78403
PPQ Dungeness Island - San Francisco,"2332 Clement St, San Francisco, CA 94121",Seafood,4.51,3178,$$,37.782068,-122.484432,3206
Blackwood,"2150 Chestnut St, San Francisco, CA 94123",Thai,4.3,1951,$$,37.800508,-122.438824,68331
Mymy,"1500 California St, San Francisco, CA 94109",Breakfast & Brunch,4.37,1926,$$,37.790798,-122.419214,63413
Don Pistos,"510 Union St, San Francisco, CA 94133",Mexican,4.46,1938,$$,37.800628,-122.407824,61351
Little Star Pizza,"400 Valencia St, San Francisco, CA 94103",Pizza,4.09,2181,$$,37.766408,-122.422055,27964
R&G Lounge,"631 Kearny St, San Francisco, CA 94108",Seafood,4.02,4675,$$,37.794154,-122.404765,3016
Craftsman and Wolves,"746 Valencia St, San Francisco, CA 94110",Bakeries,4.17,1669,$$,37.760955,-122.421552,68894
Boba Guys,"429 Stockton St, San Francisco, CA 94108",Coffee & Tea,4.31,2068,$,-9999.0,-9999.0,80120
Hot Sauce and Panko,"1468 Hyde St, San Francisco, CA 94109",Chicken Wings,4.72,1256,$,-9999.0,-9999.0,91042
Four Barrel Coffee,"375 Valencia St, San Francisco, CA 94103",Coffee & Tea,4.93,2147,$,37.766994,-122.422035,36840
Gracias Madre,"2211 Mission St, San Francisco, CA 94110",Mexican,4.25,3454,$$,-9999.0,-9999.0,70064
Spruce,"3640 Sacramento St, San Francisco, CA 94118",American (Traditional),4.22,2086,$$$$,37.787478,-122.452723,34726
Philz Coffee,"549 Castro St, San Francisco, CA 94114",Coffee & Tea,4.77,1082,$,-9999.0,-9999.0,82955
Bella Trattoria,"3854 Geary Blvd, San Francisco, CA 94118",Italian,4.62,1632,$$,37.781268,-122.460842,2593
Lers Ros,"730 Larkin St, San Francisco, CA 94109",Thai,4.5,2263,$$,37.784741,-122.417754,69799
Hot Cookie,"407 Castro St, San Francisco, CA 94114",Bakeries,3.88,1565,$$,-9999.0,-9999.0,85670
Harris' Restaurant,"2100 Van Ness Ave, San Francisco, CA 94109",Steakhouses,4.42,1980,$$$$,37.795058,-122.423147,3053
Lovejoy's Tea Room,"1351 Church St, San Francisco, CA 94114",British,4.67,1263,$$,-9999.0,-9999.0,89475
Ryoko's,"619 Taylor St, San Francisco, CA 94102",Sushi Bars,4.36,3177,$$,37.788134,-122.411817,3495
Tommaso Ristorante Italiano,"1042 Kearny St, San Francisco, CA 94133",Italian,4.87,1720,$$,37.797398,-122.405322,486
Molinari Delicatessen,"373 Columbus Ave, San Francisco, CA 94133",Delis,4.66,1237,$$,37.798556,-122.407707,840
Hinodeya Ramen Bar,"1737 Buchanan St, San Francisco, CA 94115",Ramen,3.75,1587,$$,-9999.0,-9999.0,87765
Il Casaro Pizzeria & Mozzarella Bar - North Beach,"348 Columbus Ave, San Francisco, CA 94133",Italian,4.69,1481,$$,-9999.0,-9999.0,75147
Alexander's Steakhouse,"448 Brannan St, San Francisco, CA 94107",Steakhouses,3.65,1832,$$$$,37.779153,-122.395569,63191
Taqueria Cancún,"2288 Mission St, San Francisco, CA 94110",Mexican,4.23,2090,$$,37.760487,-122.419285,2315
B Star,"127 Clement St, San Francisco, CA 94118",Burmese,3.92,1995,$$,37.783093,-122.460649,33911
La Ciccia,"291 30th St, San Francisco, CA 94131",Seafood,4.89,1182,$$$,37.742064,-122.426618,65549
Roka Akor - San Francisco,"801 Montgomery St, San Francisco, CA 94133",Steakhouses,4.3,1469,$$$$,-9999.0,-9999.0,74239
The Original Ghirardelli Ice Cream & Chocolate Shop,"900 North Point, Ste 52, San Francisco, CA 94109",Ice Cream & Frozen Yogurt,4.58,2732,$$,-9999.0,-9999.0,96537
Tommy's Joynt,"1101 Geary Blvd, San Francisco, CA 94109",American (Traditional),4.16,2961,$$,-9999.0,-9999.0,87613
Holy Gelato!,"1392 9th Ave, San Francisco, CA 94122",Gelato,4.65,1100,$$,-9999.0,-9999.0,100504
Blue Plate,"3218 Mission St, San Francisco, CA 94110",American (Traditional),4.04,1523,$$$,37.745158,-122.420217,2689
Underdogs Tres,"1224 9th Ave, San Francisco, CA 94122",Sports Bars,3.86,2070,$$,37.765412,-122.466375,68773
La Fusión,"475 Pine St, San Francisco, CA 94104",Latin American,4.57,1165,$$,37.791743,-122.403677,66515
Parada 22,"1805 Haight St, San Francisco, CA 94117",Latin American,4.26,1364,$$,37.769303,-122.451961,62051
Acquerello,"1722 Sacramento St, San Francisco, CA 94109",Italian,4.26,1190,$$$$,37.791507,-122.421257,2175
Woodhouse Fish,"2073 Market St, San Francisco, CA 94114",Seafood,4.01,1757,$$,37.767631,-122.428569,19205
The Ice Cream Bar,"815 Cole St, San Francisco, CA 94117",Ice Cream & Frozen Yogurt,3.89,1364,$,37.766567,-122.450189,66684
Andytown Coffee Roasters,"3655 Lawton St, San Francisco, CA 94122",Coffee Roasteries,4.59,963,$,-9999.0,-9999.0,77004
Benu,"22 Hawthorne St, San Francisco, CA 94105",Asian Fusion,4.34,1118,$$$$,37.785608,-122.399069,62889
The Monk's Kettle,"3141 16th St, San Francisco, CA 94103",Bars,3.89,2272,$$,37.764814,-122.422979,35591
Dragon Beaux,"5700 Geary Blvd, San Francisco, CA 94121",Dim Sum,3.93,1980,$$,-9999.0,-9999.0,81116
Basa Seafood Express,"3064 24th St, San Francisco, CA 94110",Seafood,4.9,872,$,37.752578,-122.413372,59397
Salt & Straw,"586 Hayes St, San Francisco, CA 94102",Ice Cream & Frozen Yogurt,4.31,723,$$,-9999.0,-9999.0,90931
Pacific Catch,"2027 Chestnut St, San Francisco, CA 94123",Seafood,4.04,1689,$$,37.800763,-122.436536,305
Cracked & Battered - Potrero Hill,"1434 18th St, San Francisco, CA 94107",Breakfast & Brunch,4.64,1130,$$,-9999.0,-9999.0,95554
La Mediterranee,"2210 Fillmore St, San Francisco, CA 94115",Middle Eastern,4.33,1637,$$,37.789961,-122.433962,1322
Quince,"470 Pacific Ave, San Francisco, CA 94133",French,4.16,1540,$$$$,37.797378,-122.403344,61001
Urban Ritual,"488 Fell St, San Francisco, CA 94102",Bubble Tea,4.28,867,$,-9999.0,-9999.0,95621
Firefly Restaurant,"4288 24th St, San Francisco, CA 94114",American (New),4.07,1491,$$$,37.751068,-122.438242,2676
Pizzetta 211,"211 23rd Ave, San Francisco, CA 94121",Pizza,4.94,1390,$$,37.783758,-122.482885,40217
Souvla,"517 Hayes St, San Francisco, CA 94102",Greek,3.95,1590,$$,-9999.0,-9999.0,77731
Tadich Grill,"240 California St, San Francisco, CA 94111",Seafood,4.11,2582,$$$,37.793358,-122.399443,3122
Rich Table,"199 Gough St, San Francisco, CA 94102",American (New),4.17,1391,$$$,37.775001,-122.422655,69680
Frascati,"1901 Hyde St, San Francisco, CA 94109",Italian,4.7,1237,$$$,37.798392,-122.418923,18981
Art's Cafe,"747 Irving St, San Francisco, CA 94122",Diners,4.67,1186,$$,37.764013,-122.465749,48
Smuggler's Cove,"650 Gough St, San Francisco, CA 94102",Tiki Bars,4.37,1816,$$,-9999.0,-9999.0,61357
Hai Ky Noodles,"707 Ellis St, San Francisco, CA 94109",Chinese,4.62,1070,$$,37.784193,-122.417967,283
Lazy Bear,"3416 19th St, San Francisco, CA 94110",American (New),4.47,711,$$$$,-9999.0,-9999.0,80109
Yasukochi's Sweet Stop,"1790 Sutter St, San Francisco, CA 94115",Bakeries,4.53,743,$$,37.786568,-122.429754,7575
Yasukochi's Sweet Stop,"1790 Sutter St, San Francisco, CA 94115",Bakeries,4.27,743,$$,37.78659,-122.429815,7764
Dumpling Kitchen,"1935 Taraval St, San Francisco, CA 94116",Chinese,4.0,1875,$$,-9999.0,-9999.0,76942
Yummy Yummy,"1015 Irving St, San Francisco, CA 94122",Vietnamese,3.84,1508,$$,37.763913,-122.468809,1931
Mourad Restaurant,"140 New Montgomery St, Ste 1, San Francisco, CA 94105",Moroccan,4.0,1202,$$$$,-9999.0,-9999.0,74975
Perbacco,"230 California St, San Francisco, CA 94111",Italian,4.09,2124,$$$,37.793368,-122.399294,21785
Akiko's Restaurant,"431 Bush St, San Francisco, CA 94108",Sushi Bars,4.11,1928,$$$,37.790643,-122.404676,121
Trestle ,"531 Jackson St, San Francisco, CA 94133",American (New),4.4,987,$$$,-9999.0,-9999.0,82578
Hillstone,"1800 Montgomery St, San Francisco, CA 94111",American (New),4.17,2367,$$$,37.805643,-122.40529,38179
Fresh Brew Coffee,"882 Bush St, San Francisco, CA 94108",Coffee & Tea,4.54,642,$,-9999.0,-9999.0,77546
Brenda's Meat & Three,"919 Divisadero St, San Francisco, CA 94115",Breakfast & Brunch,3.64,1333,$$,37.778194,-122.438474,10875
Piccolo Forno,"725 Columbus Ave, San Francisco, CA 94133",Pizza,4.38,774,$$,-9999.0,-9999.0,85299
Farm : Table,"754 Post St, San Francisco, CA 94109",Coffee & Tea,4.01,1826,$$,-9999.0,-9999.0,86161
Zuni Café,"1658 Market St, San Francisco, CA 94102",Italian,3.79,2875,$$$,37.773415,-122.421598,3645
Liguria Bakery,"1700 Stockton St, San Francisco, CA 94133",Bakeries,4.4,787,$,37.801407,-122.409296,7762
Pancho Villa Taqueria,"3071 16th St, San Francisco, CA 94103",Mexican,3.75,2806,$$,37.764897,-122.421234,3651
Wildseed,"2000 Union St, San Francisco, CA 94123",Vegan,4.97,959,$$,-9999.0,-9999.0,82909
Stonemill Matcha,"561 Valencia St, San Francisco, CA 94110",Cafes,4.14,1069,$$,-9999.0,-9999.0,94126
Honey Honey Cafe and Crepery,"599 Post St, San Francisco, CA 94102",Breakfast & Brunch,4.57,2809,$$,37.787863,-122.411407,37682
Boiling Hot Pot,"5512 Geary Blvd, San Francisco, CA 94121",Hot Pot,4.5,1010,$$$,-9999.0,-9999.0,78332
Amélie,"1754 Polk St, San Francisco, CA 94109",Wine Bars,3.96,1392,$$,-9999.0,-9999.0,80930
Dynamo Donut & Coffee,"2760 24th St, San Francisco, CA 94110",Coffee & Tea,4.09,1963,$,37.752928,-122.407612,38423
Han Il Kwan,"1802 Balboa St, San Francisco, CA 94121",Korean,4.43,1754,$$,37.776599,-122.478292,3165
Stella Pastry & Cafe,"446 Columbus Ave, San Francisco, CA 94133",Bakeries,3.99,1433,$$,37.799065,-122.408355,33386
Wonderful Dessert & Cafe,"2035 Irving St, San Francisco, CA 94122",Candy Stores,4.02,1297,$,37.763399,-122.479654,18767
Chez Maman West,"401 Gough St, San Francisco, CA 94102",French,4.17,1369,$$,37.776889,-122.423039,69110
Tadu Ethiopian Kitchen,"484 Ellis St, San Francisco, CA 94102",Ethiopian,4.37,691,$$,-9999.0,-9999.0,80361
BIX,"56 Gold St, San Francisco, CA 94133",American (Traditional),4.24,1906,$$$$,37.796778,-122.402875,3520
Roam Artisan Burgers,"1785 Union St, San Francisco, CA 94123",Burgers,3.91,1591,$$,37.797954,-122.428477,63047
Limón,"524 Valencia St, San Francisco, CA 94110",Peruvian,3.94,2680,$$,37.764437,-122.421885,3076
The Italian Homemade Company,"1919 Union St, San Francisco, CA 94123",Italian,4.86,1093,$$,-9999.0,-9999.0,83575
Bi-Rite Market,"3639 18th St, San Francisco, CA 94110",Specialty Food,4.65,959,$$$,37.761483,-122.424688,4481
Taylor Street Coffee Shop,"375 Taylor St, San Francisco, CA 94102",Burgers,3.89,1215,$$,-9999.0,-9999.0,80285
The Alembic,"1725 Haight St, San Francisco, CA 94117",American (New),4.02,1679,$$,-9999.0,-9999.0,96027
Sushi Zone,"1815 Market St, San Francisco, CA 94103",Sushi Bars,4.03,1066,$$,37.771437,-122.423892,562
Pink Onion,"64 14th St, San Francisco, CA 94103",Pizza,4.65,592,$$,-9999.0,-9999.0,90511
Pancake Boy,"4007 24th St, San Francisco, CA 94114",Breakfast & Brunch,3.73,1103,$$,-9999.0,-9999.0,72027
Just For You Cafe,"732 22nd St, San Francisco, CA 94107",American (Traditional),4.29,1563,$$,37.757948,-122.388862,1671
Montesacro SOMA,"510 Stevenson St, San Francisco, CA 94103",Italian,4.22,840,$$,-9999.0,-9999.0,82538
Saru Sushi Bar - Noe Valley,"3856 24th St, San Francisco, CA 94114",Sushi Bars,4.36,917,$$$,37.751648,-122.428783,67690
Tataki,"2827 California St, San Francisco, CA 94115",Sushi Bars,3.88,1346,$$,-9999.0,-9999.0,86924
Muracci's Japanese Curry & Grill,"307 Kearny St, Ste 204, San Francisco, CA 94108",Japanese Curry,4.01,1756,$$,37.790924,-122.404094,36786
Izakaya Sozai,"1500 Irving St, San Francisco, CA 94122",Ramen,3.75,2116,$$,-9999.0,-9999.0,66736
Starbelly,"3583 16th St, San Francisco, CA 94114",Comfort Food,4.36,2056,$$,37.764233,-122.43254,60400
Flour + Water,"2401 Harrison St, San Francisco, CA 94110",Italian,3.64,2422,$$$,37.758913,-122.412426,59637
Picaro,"3120 16th St, San Francisco, CA 94103",Spanish,4.04,1780,$$,37.764908,-122.422442,3838
Trattoria Contadina,"1800 Mason St, San Francisco, CA 94133",Italian,4.17,1410,$$,37.800147,-122.412456,3481
Ozumo,"161 Steuart St, San Francisco, CA 94105",Sushi Bars,4.21,2549,$$$,37.792604,-122.392268,3409
SusieCakes,"2109 Chestnut St, San Francisco, CA 94123",Bakeries,4.15,1192,$$$,-9999.0,-9999.0,88380
Perilla,"836 Irving St, San Francisco, CA 94122",Vietnamese,3.96,1447,$$,-9999.0,-9999.0,79821
Cotogna,"490 Pacific Ave, San Francisco, CA 94133",Italian,4.05,1627,$$$,37.797378,-122.403344,63918
Delarosa,"2175 Chestnut St, San Francisco, CA 94123",Italian,3.87,1770,$$,37.800414,-122.439127,61512
Swensen's,"1999 Hyde St, San Francisco, CA 94109",Ice Cream & Frozen Yogurt,3.74,1116,$,37.799187,-122.419115,3323
Gusto Pinsa Romana,"1000 Bush St, San Francisco, CA 94109",Pizza,4.58,484,$$,-9999.0,-9999.0,98223
Wako Japanese Restaurant,"211 Clement St, San Francisco, CA 94118",Japanese,4.54,694,$$$$,-9999.0,-9999.0,75574
Burma Love,"211 Valencia St, San Francisco, CA 94103",Burmese,4.17,1452,$$,-9999.0,-9999.0,83643
Original Joe's,"601 Union St, San Francisco, CA 94133",Italian,4.02,1761,$$,37.800363,-122.409477,68090
Manna,"845 Irving St, San Francisco, CA 94122",Korean,4.13,1240,$$,37.763983,-122.46709,65382
Pho Huynh Hiep 2 - Kevin's Noodle House,"1833 Irving St, San Francisco, CA 94122",Vietnamese,4.0,1812,$$,37.763503,-122.477748,3211
Good Luck Dim Sum,"736 Clement St, San Francisco, CA 94118",Dim Sum,4.12,1774,$,-9999.0,-9999.0,77960
Cordon Bleu,"1574 California St, San Francisco, CA 94109",Vietnamese,4.38,1104,$$,37.790683,-122.420264,1345
Nopalito,"306 Broderick St, San Francisco, CA 94117",Mexican,4.02,1962,$$,37.773348,-122.439147,40001
Old Skool Cafe,"1429 Mendell St, San Francisco, CA 94124",Soul Food,4.67,603,$$,37.73434,-122.390559,67923
Beit Rima,"138 Church St, San Francisco, CA 94114",Arabic,4.16,549,$$,-9999.0,-9999.0,102398
Pica Pica Arepa Kitchen,"401 Valencia St, San Francisco, CA 94103",Gluten-Free,3.91,1601,$$,37.766394,-122.421986,62532
Bobo's Steakhouse,"1450 Lombard St, San Francisco, CA 94123",Steakhouses,4.24,2192,$$$,37.801218,-122.425535,2725
Atelier Crenn,"3127 Fillmore St, San Francisco, CA 94123",French,4.97,799,$$$$,37.798403,-122.435804,65060
The Richmond,"615 Balboa St, San Francisco, CA 94118",American (New),4.63,734,$$$,37.777123,-122.46534,16047
Crepevine Restaurants,"624 Irving St, San Francisco, CA 94122",Creperies,4.26,1683,$$,-9999.0,-9999.0,74759
Zushi Puzzle,"1910 Lombard St, San Francisco, CA 94123",Sushi Bars,3.89,1365,$$$,37.800248,-122.433053,2063
Sushi Bistro,"452 Balboa St, San Francisco, CA 94118",Sushi Bars,3.82,1531,$$,-9999.0,-9999.0,88954
Nojo Ramen Tavern,"231 Franklin St, San Francisco, CA 94102",Ramen,4.05,1050,$$,-9999.0,-9999.0,85279
Pineapple King Bakery,"1915 Irving St, San Francisco, CA 94122",Bakeries,4.63,805,$,-9999.0,-9999.0,81258
San Francisco's Hometown Creamery,"1290 9th Ave, San Francisco, CA 94122",Ice Cream & Frozen Yogurt,4.86,883,$$,-9999.0,-9999.0,82337
Yamo,"3406 18th St, San Francisco, CA 94110",Burmese,4.04,2027,$,37.761882,-122.419599,1231
Broken Record,"1166 Geneva Ave, San Francisco, CA 94112",Dive Bars,4.27,1256,$$,37.71444,-122.436835,34102
Boba Guys,"3491 19th St, San Francisco, CA 94110",Bubble Tea,3.97,1516,$,-9999.0,-9999.0,74039
Palmyra,"700 Haight St, San Francisco, CA 94117",Mediterranean,3.94,962,$,37.771698,-122.433903,64843
Amber India,"25 Yerba Buena Ln, San Francisco, CA 94103",Indian,3.83,2216,$$,37.785386,-122.403918,38259
Alimento,"507 Columbus Ave, San Francisco, CA 94133",Italian,4.41,787,$,-9999.0,-9999.0,85097
Gialina Pizzeria,"2842 Diamond St, San Francisco, CA 94131",Pizza,3.96,1129,$$,37.733934,-122.434095,32738
Mona Lisa Restaurant,"353 Columbus Ave, San Francisco, CA 94133",Italian,4.3,2061,$$,-9999.0,-9999.0,82485
Sushirrito,"226 Kearny St, San Francisco, CA 94108",Japanese,4.15,1572,$$,-9999.0,-9999.0,73849
Pork Store Cafe,"1451 Haight St, San Francisco, CA 94117",Breakfast & Brunch,3.78,1415,$$,37.770063,-122.446247,1047
Little Delhi,"83 Eddy St, San Francisco, CA 94102",Indian,4.32,2015,$$,37.784394,-122.409047,59178
Lokma,"1801 Clement St, San Francisco, CA 94121",Mediterranean,4.38,487,$$,-9999.0,-9999.0,93947
Omakase,"665 Townsend St, San Francisco, CA 94103",Sushi Bars,4.43,570,$$$$,-9999.0,-9999.0,80484
Papalote Mexican Grill,"3409 24th St, San Francisco, CA 94110",Mexican,3.93,2275,$$,37.752073,-122.420939,32925
Outerlands,"4001 Judah St, San Francisco, CA 94122",Breakfast & Brunch,4.13,2305,$$,-9999.0,-9999.0,74829
Tín Vietnamese Cuisine,"937 Howard St, San Francisco, CA 94103",Vietnamese,4.12,1360,$$,-9999.0,-9999.0,91457
The Little Chihuahua,"292 Divisadero St, San Francisco, CA 94117",Mexican,4.11,1548,$$,37.771987,-122.437147,59988
The Rotunda,"150 Stockton St, San Francisco, CA 94108",American (New),4.17,1774,$$$,37.787108,-122.406409,3578
Oasis Grill,"91 Drumm St, San Francisco, CA 94111",Middle Eastern,3.63,1298,$$,37.794483,-122.396584,58
Oasis Grill,"91 Drumm St, San Francisco, CA 94111",Middle Eastern,3.93,1298,$$,-9999.0,-9999.0,69962
Yank Sing,"101 Spear St, San Francisco, CA 94105",Dim Sum,4.05,2675,$$$,37.792577,-122.393992,1673
Yank Sing,"101 Spear St, San Francisco, CA 94105",Dim Sum,3.69,2675,$$$,37.792577,-122.393992,60475
Bandit,"683 Geary St, San Francisco, CA 94102",Burgers,4.19,503,$$,-9999.0,-9999.0,92174
Canela Bistro & Wine Bar,"2272 Market St, San Francisco, CA 94114",Spanish,4.48,734,$$$,-9999.0,-9999.0,66394
Beanstalk Cafe,"724 Bush St, San Francisco, CA 94108",Coffee & Tea,4.68,905,$,-9999.0,-9999.0,76763
Chisme Cantina,"882 Sutter St, San Francisco, CA 94109",Tacos,4.39,542,$$,-9999.0,-9999.0,82324
Bouche,"603 Bush St, San Francisco, CA 94108",French,4.37,838,$$$,37.790323,-122.407348,59691
Saint Frank Coffee,"2340 Polk St, San Francisco, CA 94109",Coffee & Tea,4.65,809,$,-9999.0,-9999.0,76409
Little Skillet,"360 Ritch St, San Francisco, CA 94107",Breakfast & Brunch,3.56,2081,$$,-9999.0,-9999.0,75406
Volcano,"5454 Geary Blvd, San Francisco, CA 94121",Japanese Curry,4.05,1288,$$,37.780515,-122.477846,39695
