iid,date,score,type,bid,timestamp,year
1350_20181129,11/29/2018 12:00:00 AM,83,Routine - Unscheduled,1350,2018-11-29,2018
1350_20181206,12/06/2018 12:00:00 AM,-1,Reinspection/Followup,1350,2018-12-06,2018
1350_20181213,12/13/2018 12:00:00 AM,-1,Reinspection/Followup,1350,2018-12-13,2018
1350_20190607,06/07/2019 12:00:00 AM,71,Routine - Unscheduled,1350,2019-06-07,2019
1350_20190611,06/11/2019 12:00:00 AM,-1,Non-inspection site visit,1350,2019-06-11,2019
1350_20190617,06/17/2019 12:00:00 AM,-1,Reinspection/Followup,1350,2019-06-17,2019
1350_20190701,07/01/2019 12:00:00 AM,-1,Complaint,1350,2019-07-01,2019
1389_20161026,10/26/2016 12:00:00 AM,78,Routine - Unscheduled,1389,2016-10-26,2016
1389_20161101,11/01/2016 12:00:00 AM,-1,Reinspection/Followup,1389,2016-11-01,2016
1389_20161227,12/27/2016 12:00:00 AM,-1,Reinspection/Followup,1389,2016-12-27,2016
1389_20171011,10/11/2017 12:00:00 AM,87,Routine - Unscheduled,1389,2017-10-11,2017
1389_20181001,10/01/2018 12:00:00 AM,82,Routine - Unscheduled,1389,2018-10-01,2018
1389_20181017,10/17/2018 12:00:00 AM,-1,Reinspection/Followup,1389,2018-10-17,2018
1389_20190425,04/25/2019 12:00:00 AM,91,Routine - Unscheduled,1389,2019-04-25,2019
14075_20180727,07/27/2018 12:00:00 AM,-1,Complaint,14075,2018-07-27,2018
14075_20190604,06/04/2019 12:00:00 AM,96,Routine - Unscheduled,14075,2019-06-04,2019
1442_20170123,01/23/2017 12:00:00 AM,94,Routine - Unscheduled,1442,2017-01-23,2017
1442_20180607,06/07/2018 12:00:00 AM,94,Routine - Unscheduled,1442,2018-06-07,2018
1442_20190606,06/06/2019 12:00:00 AM,90,Routine - Unscheduled,1442,2019-06-06,2019
1565_20170307,03/07/2017 12:00:00 AM,94,Routine - Unscheduled,1565,2017-03-07,2017
1565_20180606,06/06/2018 12:00:00 AM,88,Routine - Unscheduled,1565,2018-06-06,2018
1565_20190326,03/26/2019 12:00:00 AM,89,Routine - Unscheduled,1565,2019-03-26,2019
1565_20190405,04/05/2019 12:00:00 AM,-1,Reinspection/Followup,1565,2019-04-05,2019
15738_20161006,10/06/2016 12:00:00 AM,100,Routine - Unscheduled,15738,2016-10-06,2016
15738_20190102,01/02/2019 12:00:00 AM,75,Routine - Unscheduled,15738,2019-01-02,2019
15738_20190103,01/03/2019 12:00:00 AM,-1,Reinspection/Followup,15738,2019-01-03,2019
15738_20190104,01/04/2019 12:00:00 AM,-1,Reinspection/Followup,15738,2019-01-04,2019
15738_20190613,06/13/2019 12:00:00 AM,80,Routine - Unscheduled,15738,2019-06-13,2019
15738_20190624,06/24/2019 12:00:00 AM,-1,Reinspection/Followup,15738,2019-06-24,2019
15738_20190827,08/27/2019 12:00:00 AM,-1,Complaint,15738,2019-08-27,2019
15738_20190830,08/30/2019 12:00:00 AM,-1,Complaint Reinspection/Followup,15738,2019-08-30,2019
15806_20170802,08/02/2017 12:00:00 AM,100,Routine - Unscheduled,15806,2017-08-02,2017
15806_20180302,03/02/2018 12:00:00 AM,98,Routine - Unscheduled,15806,2018-03-02,2018
15806_20181203,12/03/2018 12:00:00 AM,96,Routine - Unscheduled,15806,2018-12-03,2018
1584_20170824,08/24/2017 12:00:00 AM,77,Routine - Unscheduled,1584,2017-08-24,2017
1584_20170905,09/05/2017 12:00:00 AM,-1,Reinspection/Followup,1584,2017-09-05,2017
1584_20180322,03/22/2018 12:00:00 AM,87,Routine - Unscheduled,1584,2018-03-22,2018
1584_20180410,04/10/2018 12:00:00 AM,-1,Reinspection/Followup,1584,2018-04-10,2018
1584_20190926,09/26/2019 12:00:00 AM,90,Routine - Unscheduled,1584,2019-09-26,2019
1595_20171214,12/14/2017 12:00:00 AM,92,Routine - Unscheduled,1595,2017-12-14,2017
1595_20171221,12/21/2017 12:00:00 AM,-1,Complaint Reinspection/Followup,1595,2017-12-21,2017
1595_20181126,11/26/2018 12:00:00 AM,90,Routine - Unscheduled,1595,2018-11-26,2018
1595_20190104,01/04/2019 12:00:00 AM,-1,Non-inspection site visit,1595,2019-01-04,2019
16047_20170202,02/02/2017 12:00:00 AM,92,Routine - Unscheduled,16047,2017-02-02,2017
16047_20180710,07/10/2018 12:00:00 AM,93,Routine - Unscheduled,16047,2018-07-10,2018
16047_20180717,07/17/2018 12:00:00 AM,-1,Reinspection/Followup,16047,2018-07-17,2018
16047_20190514,05/14/2019 12:00:00 AM,94,Routine - Unscheduled,16047,2019-05-14,2019
1626_20190423,04/23/2019 12:00:00 AM,88,Routine - Unscheduled,1626,2019-04-23,2019
1671_20170206,02/06/2017 12:00:00 AM,87,Routine - Unscheduled,1671,2017-02-06,2017
1671_20190624,06/24/2019 12:00:00 AM,92,Routine - Unscheduled,1671,2019-06-24,2019
1673_20170608,06/08/2017 12:00:00 AM,79,Routine - Unscheduled,1673,2017-06-08,2017
1673_20190408,04/08/2019 12:00:00 AM,-1,Non-inspection site visit,1673,2019-04-08,2019
1673_20190417,04/17/2019 12:00:00 AM,82,Routine - Unscheduled,1673,2019-04-17,2019
1673_20190515,05/15/2019 12:00:00 AM,-1,Reinspection/Followup,1673,2019-05-15,2019
1692_20170913,09/13/2017 12:00:00 AM,81,Routine - Unscheduled,1692,2017-09-13,2017
1692_20181030,10/30/2018 12:00:00 AM,88,Routine - Unscheduled,1692,2018-10-30,2018
1692_20190625,06/25/2019 12:00:00 AM,83,Routine - Unscheduled,1692,2019-06-25,2019
1692_20190703,07/03/2019 12:00:00 AM,-1,Reinspection/Followup,1692,2019-07-03,2019
1734_20170616,06/16/2017 12:00:00 AM,81,Routine - Unscheduled,1734,2017-06-16,2017
1734_20171120,11/20/2017 12:00:00 AM,87,Routine - Unscheduled,1734,2017-11-20,2017
1734_20180509,05/09/2018 12:00:00 AM,88,Routine - Unscheduled,1734,2018-05-09,2018
1734_20180830,08/30/2018 12:00:00 AM,-1,Complaint,1734,2018-08-30,2018
1734_20180904,09/04/2018 12:00:00 AM,-1,Complaint Reinspection/Followup,1734,2018-09-04,2018
1734_20181010,10/10/2018 12:00:00 AM,-1,Reinspection/Followup,1734,2018-10-10,2018
1734_20190226,02/26/2019 12:00:00 AM,70,Routine - Unscheduled,1734,2019-02-26,2019
1734_20190403,04/03/2019 12:00:00 AM,-1,Reinspection/Followup,1734,2019-04-03,2019
1734_20190416,04/16/2019 12:00:00 AM,-1,Reinspection/Followup,1734,2019-04-16,2019
1734_20190827,08/27/2019 12:00:00 AM,86,Routine - Unscheduled,1734,2019-08-27,2019
1734_20190903,09/03/2019 12:00:00 AM,-1,Reinspection/Followup,1734,2019-09-03,2019
1741_20170412,04/12/2017 12:00:00 AM,90,Routine - Unscheduled,1741,2017-04-12,2017
1741_20180426,04/26/2018 12:00:00 AM,92,Routine - Unscheduled,1741,2018-04-26,2018
1741_20180507,05/07/2018 12:00:00 AM,-1,Reinspection/Followup,1741,2018-05-07,2018
1741_20180511,05/11/2018 12:00:00 AM,-1,Reinspection/Followup,1741,2018-05-11,2018
1741_20190115,01/15/2019 12:00:00 AM,-1,Complaint,1741,2019-01-15,2019
1741_20190329,03/29/2019 12:00:00 AM,-1,Reinspection/Followup,1741,2019-03-29,2019
1741_20190606,06/06/2019 12:00:00 AM,92,Routine - Unscheduled,1741,2019-06-06,2019
1741_20190614,06/14/2019 12:00:00 AM,-1,Reinspection/Followup,1741,2019-06-14,2019
17647_20180330,03/30/2018 12:00:00 AM,88,Routine - Unscheduled,17647,2018-03-30,2018
17647_20190723,07/23/2019 12:00:00 AM,90,Routine - Unscheduled,17647,2019-07-23,2019
17762_20161011,10/11/2016 12:00:00 AM,82,Routine - Unscheduled,17762,2016-10-11,2016
17762_20170724,07/24/2017 12:00:00 AM,88,Routine - Unscheduled,17762,2017-07-24,2017
17762_20171130,11/30/2017 12:00:00 AM,-1,Complaint,17762,2017-11-30,2017
17762_20180409,04/09/2018 12:00:00 AM,94,Routine - Unscheduled,17762,2018-04-09,2018
17762_20190508,05/08/2019 12:00:00 AM,94,Routine - Unscheduled,17762,2019-05-08,2019
17762_20190515,05/15/2019 12:00:00 AM,-1,Reinspection/Followup,17762,2019-05-15,2019
1792_20170419,04/19/2017 12:00:00 AM,90,Routine - Unscheduled,1792,2017-04-19,2017
1792_20171106,11/06/2017 12:00:00 AM,98,Routine - Unscheduled,1792,2017-11-06,2017
1792_20181217,12/17/2018 12:00:00 AM,88,Routine - Unscheduled,1792,2018-12-17,2018
1792_20190404,04/04/2019 12:00:00 AM,-1,Reinspection/Followup,1792,2019-04-04,2019
18102_20170203,02/03/2017 12:00:00 AM,86,Routine - Unscheduled,18102,2017-02-03,2017
18102_20170224,02/24/2017 12:00:00 AM,-1,Reinspection/Followup,18102,2017-02-24,2017
18102_20180427,04/27/2018 12:00:00 AM,92,Routine - Unscheduled,18102,2018-04-27,2018
18102_20190220,02/20/2019 12:00:00 AM,71,Routine - Unscheduled,18102,2019-02-20,2019
18102_20190221,02/21/2019 12:00:00 AM,-1,Non-inspection site visit,18102,2019-02-21,2019
18102_20190222,02/22/2019 12:00:00 AM,-1,Reinspection/Followup,18102,2019-02-22,2019
18102_20190301,03/01/2019 12:00:00 AM,-1,Reinspection/Followup,18102,2019-03-01,2019
1829_20170926,09/26/2017 12:00:00 AM,82,Routine - Unscheduled,1829,2017-09-26,2017
1829_20171003,10/03/2017 12:00:00 AM,-1,Reinspection/Followup,1829,2017-10-03,2017
1829_20171006,10/06/2017 12:00:00 AM,-1,Reinspection/Followup,1829,2017-10-06,2017
1829_20180727,07/27/2018 12:00:00 AM,96,Routine - Unscheduled,1829,2018-07-27,2018
1844_20180604,06/04/2018 12:00:00 AM,88,Routine - Unscheduled,1844,2018-06-04,2018
1852_20170106,01/06/2017 12:00:00 AM,88,Routine - Unscheduled,1852,2017-01-06,2017
1852_20170124,01/24/2017 12:00:00 AM,-1,Reinspection/Followup,1852,2017-01-24,2017
1852_20170130,01/30/2017 12:00:00 AM,-1,Reinspection/Followup,1852,2017-01-30,2017
1852_20171026,10/26/2017 12:00:00 AM,86,Routine - Unscheduled,1852,2017-10-26,2017
1852_20171102,11/02/2017 12:00:00 AM,-1,Reinspection/Followup,1852,2017-11-02,2017
1852_20180820,08/20/2018 12:00:00 AM,92,Routine - Unscheduled,1852,2018-08-20,2018
18606_20170213,02/13/2017 12:00:00 AM,83,Routine - Unscheduled,18606,2017-02-13,2017
18606_20170214,02/14/2017 12:00:00 AM,-1,Reinspection/Followup,18606,2017-02-14,2017
18606_20170224,02/24/2017 12:00:00 AM,-1,Reinspection/Followup,18606,2017-02-24,2017
18606_20170308,03/08/2017 12:00:00 AM,-1,Reinspection/Followup,18606,2017-03-08,2017
18606_20190306,03/06/2019 12:00:00 AM,84,Routine - Unscheduled,18606,2019-03-06,2019
18606_20190314,03/14/2019 12:00:00 AM,-1,Reinspection/Followup,18606,2019-03-14,2019
18767_20170906,09/06/2017 12:00:00 AM,86,Routine - Unscheduled,18767,2017-09-06,2017
18767_20180502,05/02/2018 12:00:00 AM,90,Routine - Unscheduled,18767,2018-05-02,2018
18767_20190807,08/07/2019 12:00:00 AM,92,Routine - Unscheduled,18767,2019-08-07,2019
18805_20180308,03/08/2018 12:00:00 AM,96,Routine - Unscheduled,18805,2018-03-08,2018
18921_20161109,11/09/2016 12:00:00 AM,93,Routine - Unscheduled,18921,2016-11-09,2016
18921_20180409,04/09/2018 12:00:00 AM,93,Routine - Unscheduled,18921,2018-04-09,2018
18921_20180417,04/17/2018 12:00:00 AM,-1,Reinspection/Followup,18921,2018-04-17,2018
18981_20180223,02/23/2018 12:00:00 AM,96,Routine - Unscheduled,18981,2018-02-23,2018
18996_20180108,01/08/2018 12:00:00 AM,96,Routine - Unscheduled,18996,2018-01-08,2018
18996_20180824,08/24/2018 12:00:00 AM,88,Routine - Unscheduled,18996,2018-08-24,2018
18996_20180831,08/31/2018 12:00:00 AM,-1,Reinspection/Followup,18996,2018-08-31,2018
18996_20190410,04/10/2019 12:00:00 AM,96,Routine - Unscheduled,18996,2019-04-10,2019
19003_20170801,08/01/2017 12:00:00 AM,62,Routine - Unscheduled,19003,2017-08-01,2017
19003_20170802,08/02/2017 12:00:00 AM,-1,Reinspection/Followup,19003,2017-08-02,2017
19003_20170803,08/03/2017 12:00:00 AM,-1,Reinspection/Followup,19003,2017-08-03,2017
19003_20170810,08/10/2017 12:00:00 AM,-1,Non-inspection site visit,19003,2017-08-10,2017
19003_20170828,08/28/2017 12:00:00 AM,-1,Special Event,19003,2017-08-28,2017
19003_20170915,09/15/2017 12:00:00 AM,-1,Reinspection/Followup,19003,2017-09-15,2017
19003_20170918,09/18/2017 12:00:00 AM,-1,Reinspection/Followup,19003,2017-09-18,2017
19003_20171106,11/06/2017 12:00:00 AM,-1,Reinspection/Followup,19003,2017-11-06,2017
19003_20180103,01/03/2018 12:00:00 AM,-1,Reinspection/Followup,19003,2018-01-03,2018
19003_20180118,01/18/2018 12:00:00 AM,83,Routine - Unscheduled,19003,2018-01-18,2018
19003_20180220,02/20/2018 12:00:00 AM,-1,Reinspection/Followup,19003,2018-02-20,2018
19003_20180821,08/21/2018 12:00:00 AM,82,Routine - Unscheduled,19003,2018-08-21,2018
19003_20180822,08/22/2018 12:00:00 AM,-1,Reinspection/Followup,19003,2018-08-22,2018
19003_20180914,09/14/2018 12:00:00 AM,-1,Reinspection/Followup,19003,2018-09-14,2018
19003_20190416,04/16/2019 12:00:00 AM,-1,Complaint,19003,2019-04-16,2019
19003_20190419,04/19/2019 12:00:00 AM,-1,Reinspection/Followup,19003,2019-04-19,2019
19205_20170906,09/06/2017 12:00:00 AM,92,Routine - Unscheduled,19205,2017-09-06,2017
19205_20180912,09/12/2018 12:00:00 AM,87,Routine - Unscheduled,19205,2018-09-12,2018
19205_20180913,09/13/2018 12:00:00 AM,-1,Reinspection/Followup,19205,2018-09-13,2018
19205_20190919,09/19/2019 12:00:00 AM,94,Routine - Unscheduled,19205,2019-09-19,2019
1931_20180108,01/08/2018 12:00:00 AM,92,Routine - Unscheduled,1931,2018-01-08,2018
1931_20180228,02/28/2018 12:00:00 AM,-1,Complaint,1931,2018-02-28,2018
1931_20190107,01/07/2019 12:00:00 AM,79,Routine - Unscheduled,1931,2019-01-07,2019
1931_20190115,01/15/2019 12:00:00 AM,-1,Reinspection/Followup,1931,2019-01-15,2019
1950_20170126,01/26/2017 12:00:00 AM,-1,Foodborne Illness Investigation,1950,2017-01-26,2017
1950_20170214,02/14/2017 12:00:00 AM,-1,Reinspection/Followup,1950,2017-02-14,2017
1950_20171115,11/15/2017 12:00:00 AM,90,Routine - Unscheduled,1950,2017-11-15,2017
1950_20171129,11/29/2017 12:00:00 AM,-1,Reinspection/Followup,1950,2017-11-29,2017
1950_20180924,09/24/2018 12:00:00 AM,92,Routine - Unscheduled,1950,2018-09-24,2018
1977_20170103,01/03/2017 12:00:00 AM,91,Routine - Unscheduled,1977,2017-01-03,2017
1977_20170131,01/31/2017 12:00:00 AM,-1,Reinspection/Followup,1977,2017-01-31,2017
1977_20180830,08/30/2018 12:00:00 AM,94,Routine - Unscheduled,1977,2018-08-30,2018
20116_20161207,12/07/2016 12:00:00 AM,87,Routine - Unscheduled,20116,2016-12-07,2016
20116_20161214,12/14/2016 12:00:00 AM,-1,Reinspection/Followup,20116,2016-12-14,2016
20116_20171018,10/18/2017 12:00:00 AM,88,Routine - Unscheduled,20116,2017-10-18,2017
20116_20190523,05/23/2019 12:00:00 AM,90,Routine - Unscheduled,20116,2019-05-23,2019
20291_20171012,10/12/2017 12:00:00 AM,89,Routine - Unscheduled,20291,2017-10-12,2017
20291_20171023,10/23/2017 12:00:00 AM,-1,Reinspection/Followup,20291,2017-10-23,2017
20291_20180530,05/30/2018 12:00:00 AM,82,Routine - Unscheduled,20291,2018-05-30,2018
20291_20180614,06/14/2018 12:00:00 AM,-1,Reinspection/Followup,20291,2018-06-14,2018
2053_20171214,12/14/2017 12:00:00 AM,96,Routine - Unscheduled,2053,2017-12-14,2017
2063_20170214,02/14/2017 12:00:00 AM,86,Routine - Unscheduled,2063,2017-02-14,2017
2063_20171113,11/13/2017 12:00:00 AM,74,Routine - Unscheduled,2063,2017-11-13,2017
2063_20171129,11/29/2017 12:00:00 AM,-1,Reinspection/Followup,2063,2017-11-29,2017
2063_20180731,07/31/2018 12:00:00 AM,84,Routine - Unscheduled,2063,2018-07-31,2018
2063_20181003,10/03/2018 12:00:00 AM,-1,Reinspection/Followup,2063,2018-10-03,2018
2063_20190924,09/24/2019 12:00:00 AM,77,Routine - Unscheduled,2063,2019-09-24,2019
2110_20170814,08/14/2017 12:00:00 AM,74,Routine - Unscheduled,2110,2017-08-14,2017
2110_20170905,09/05/2017 12:00:00 AM,-1,Reinspection/Followup,2110,2017-09-05,2017
2110_20170911,09/11/2017 12:00:00 AM,-1,Reinspection/Followup,2110,2017-09-11,2017
2110_20180205,02/05/2018 12:00:00 AM,81,Routine - Unscheduled,2110,2018-02-05,2018
2110_20180212,02/12/2018 12:00:00 AM,-1,Reinspection/Followup,2110,2018-02-12,2018
2110_20180724,07/24/2018 12:00:00 AM,90,Routine - Unscheduled,2110,2018-07-24,2018
2110_20190306,03/06/2019 12:00:00 AM,83,Routine - Unscheduled,2110,2019-03-06,2019
2110_20190315,03/15/2019 12:00:00 AM,-1,Reinspection/Followup,2110,2019-03-15,2019
2110_20190917,09/17/2019 12:00:00 AM,92,Routine - Unscheduled,2110,2019-09-17,2019
2156_20170125,01/25/2017 12:00:00 AM,96,Routine - Unscheduled,2156,2017-01-25,2017
2156_20170202,02/02/2017 12:00:00 AM,-1,Reinspection/Followup,2156,2017-02-02,2017
2156_20170817,08/17/2017 12:00:00 AM,-1,New Construction,2156,2017-08-17,2017
2156_20170907,09/07/2017 12:00:00 AM,-1,New Construction,2156,2017-09-07,2017
2156_20170929,09/29/2017 12:00:00 AM,-1,New Construction,2156,2017-09-29,2017
2156_20171121,11/21/2017 12:00:00 AM,90,Routine - Unscheduled,2156,2017-11-21,2017
2156_20171201,12/01/2017 12:00:00 AM,-1,Reinspection/Followup,2156,2017-12-01,2017
2156_20190521,05/21/2019 12:00:00 AM,94,Routine - Unscheduled,2156,2019-05-21,2019
2172_20180110,01/10/2018 12:00:00 AM,83,Routine - Unscheduled,2172,2018-01-10,2018
